id,name,slug,category_type,db_fit,first_class_neon,first_class_supabase,byo_postgres,deploy_path,oss,pricing_model,ai_builder,designer_first,enterprise_ready,overview_short,pros_short,cons_short,tags,difficulty_hint,complexity_hint,avg_rating,vote_count,created_at
1,Vercel v0,vercel-v0,AI Builder,Neon+Supabase,True,True,True,Vercel,False,freemium,True,False,True,Prompt→Next.js app on Vercel,Smooth deploy; great DX,Vercel-centric,nextjs;vercel;ai,2,2,0.0,0,2025-10-11T08:11:07.230362Z
2,Lovable,lovable,AI Builder,Supabase,False,True,True,Lovable/Vercel,False,freemium,True,False,False,Chat-build full‑stack with Supabase,Very fast start; simple publish,Complex scale-up requires code,supabase;ai;no-code-ish,2,2,0.0,0,2025-10-11T08:11:07.230378Z
3,Replit Agent,replit-agent,AI Builder,Neon,True,False,True,Replit,False,freemium,True,False,True,Prompt→app with Neon Postgres,All‑in‑one editor+deploy,Opinionated stack,replit;neon;agent,2,3,0.0,0,2025-10-11T08:11:07.230382Z
4,StackBlitz Bolt,stackblitz-bolt,AI Builder,Supabase‑friendly,False,True,True,Netlify/Vercel/StackBlitz,False,free,True,False,False,In‑browser full‑stack gen/run,Zero local setup,Browser resource limits,stackblitz;bolt;netlify;vercel,2,3,0.0,0,2025-10-11T08:11:07.230385Z
5,WeWeb,weweb,No-code App,Supabase,False,True,True,WeWeb Cloud/Static,False,paid,False,False,True,Visual web apps with Supabase plugin,Strong data tools,Advanced logic setup,weweb;visual;supabase,2,3,0.0,0,2025-10-11T08:11:07.230389Z
6,Wized (Webflow),wized-webflow,No-code App,Supabase,False,True,True,Webflow Hosting,False,paid,False,True,True,Logic layer for Webflow + Supabase,Great for Webflow teams,Plugin reliance,webflow;wized;supabase,2,3,0.0,0,2025-10-11T08:11:07.230393Z
7,Plasmic,plasmic,No/low-code,Supabase,False,True,True,Any host,False,freemium,False,True,False,Visual → code bridge; data connectors,Flexible; framework‑agnostic,Needs glue code,plasmic;visual;react,3,3,0.0,0,2025-10-11T08:11:07.230397Z
8,FlutterFlow,flutterflow,No-code App,Supabase,False,True,True,App Stores/Web,False,paid,False,False,True,Mobile/web builder with Supabase,Rich widgets; mobile‑first,Learning curve,flutter;mobile;supabase,3,4,0.0,0,2025-10-11T08:11:07.230402Z
9,Glide,glide,No-code App,Supabase+Postgres,False,True,True,Glide Hosting/PWA,False,paid,False,False,False,Data apps/PWAs with Postgres sources,Quick CRUD,Heavy custom is tricky,pwa;crud;supabase;postgres,1,2,0.0,0,2025-10-11T08:11:07.230406Z
10,Softr,softr,No-code App,Supabase,False,True,True,Softr Cloud,False,paid,False,False,True,Client portals/internal tools,Fast auth/pages,Deeper logic harder,portals;supabase;nocode,2,2,0.0,0,2025-10-11T08:11:07.230410Z
